"index" "Data" "Hora" "ID_antigo" "ID_novo" "revisor" "plotID" "qdID" "Dupla" "Especie.com.Certeza" "Palpite.Especie" "Nome.Cientifico" "Genero" "Familia" "Subordem" "Ordem" "Classe" "Enviar.Especialista" "Lat" "Lon" "Alt" "Precision" "ErrorCoor" "Exclude" "Foto.Toda.Carcaca" "Foto.Toda.Carcaca.1" "Foto.Cabeca.de.Frente" "Foto.Cabeca.de.Frente.1" "Foto.Cabeca.de.Lado" "Foto.Cabeca.de.Lado.1" "Foto.da.Pata" "Foto.da.Pata.1" "Outra.Foto1" "Outra.Foto1.1" "Outra.Foto2" "Outra.Foto2.1" "Carcaca.Coletada." "Tecido.Coletado." "Observacoes" "X_id" "X_uuid" "X_submission_time" "X_validation_status" "kobo_index" "form_kobo" "start" "end" "Coordenada.da.carcaca"
186 "11/10/2020" "08:25:00.000-04:00" "P16875_0825" "P16875_0825" "Guilherme" "P16875" "179" "Dupla1" "Tamanduá-mirim" "" "Tamandua tetradactyla" "Tamandua" "Myrmecophagidae" "" "Pilosa" "Mammalia" "" -16.656488 -56.250503 139.9052124 10.72000027 "" "" "16024191323117128459871868231887-8_25_49.jpg" "Foto Toda Carcaca" "16024191578121032745803527948130-8_26_3.jpg" "Foto Cabeca Frente" "16024191855352912807666331078605-8_26_34.jpg" "Foto Cabeca Lado" "" "Sem Foto" "" "Sem Foto" "" "Sem Foto" "Não" "Sim" "" 70017926 "36804706-c16f-4a19-a3b1-862005250471" "2020-10-11T23:04:05" "" 196 "dusma" "2020-10-11T08:25:13.192-04:00" "2020-10-11T08:27:23.173-04:00" "-16.656488 -56.250503 139.90521240234375 10.720000267028809"
187 "11/10/2020" "06:07:00.000-04:00" "P8024-06.06" "P8024_0606" "Guilherme" "P8024" "179" "Dupla1" "" "" "Pecari tajacu" "Pecari" "Tayassuidae" "" "Artiodactyla" "Mammalia" "sim" -16.642045 -56.265763 131 3.21600008 "" "" "16024107996183137810741469926624-6_6_49.jpg" "Foto Toda Carcaca" "" "Sem Foto" "" "Sem Foto" "" "Sem Foto" "16024108267717540226333221340707-6_7_13.jpg" "Outra Foto 1" "" "Sem Foto" "Não" "Não" "" 70277768 "6fa1b0d7-cd21-4a54-b0ae-3ae203d04a60" "2020-10-13T17:49:31" "" 205 "dusma" "2020-10-11T06:05:50.718-04:00" "2020-10-11T06:07:27.865-04:00" "-16.642045 -56.265763 131 3.2160000801086426"
188 "12/10/2020" "06:16:00.000-04:00" "PTQ9" "PTQ9_0616" "Guilherme" "PTQ9" "162" "Dupla2" "Caititu" "" "Pecari tajacu" "Pecari" "Tayassuidae" "" "Artiodactyla" "Mammalia" "" -16.674761 -56.286218 124.6981559 10 "" "" "image-6_15_58.jpg" "Foto Toda Carcaca" "" "Sem Foto" "image-6_16_11.jpg" "Foto Cabeca Lado" "" "Sem Foto" "" "Sem Foto" "" "Sem Foto" "Não" "Sim" "" 70087315 "8dea19f1-04ff-48e4-89d0-3e856f136a8d" "2020-10-12T13:47:49" "" 197 "dusma" "2020-10-12T06:14:22.546-04:00" "2020-10-12T06:16:59.437-04:00" "-16.674761 -56.286218 124.69815587997437 10"
190 "12/10/2020" "06:35:00.000-04:00" "PTQ9" "PTQ9_0635" "Guilherme" "PTQ9" "162" "Dupla1" "Anta" "Anta" "Tapirus terrestris" "Tapirus" "Tapiridae" "" "Perissodactyla" "Mammalia" "não" -16.674944 -56.285443 121.04392 10 "" "" "image-6_33_40.jpg" "Foto Toda Carcaca" "image-6_34_11.jpg" "Foto Cabeca Frente" "image-6_34_32.jpg" "Foto Cabeca Lado" "" "Sem Foto" "image-6_34_55.jpg" "Outra Foto 1" "" "Sem Foto" "Não" "Sim" "" 70087409 "08c6a9e0-bf5b-4cd2-9b3a-db0a53036e57" "2020-10-12T13:48:32" "" 199 "dusma" "2020-10-12T06:32:01.151-04:00" "2020-10-12T06:35:26.313-04:00" "-16.674944 -56.285443 121.04392004013062 10"
191 "12/10/2020" "07:03:00.000-04:00" "PTQ9" "PTQ9_0703" "Guilherme" "PTQ9" "162" "Dupla1" "Anta" "Anta" "Tapirus terrestris" "Tapirus" "Tapiridae" "" "Perissodactyla" "Mammalia" "não" -16.67532 -56.285578 120.8722892 10 "" "" "image-7_3_44.jpg" "Foto Toda Carcaca" "" "Sem Foto" "" "Sem Foto" "" "Sem Foto" "" "Sem Foto" "" "Sem Foto" "Não" "Sim" "Tecido coletado um dia anterior pela Carol" 70087414 "7159ff1d-9814-477f-81e0-6d21aac27253" "2020-10-12T13:48:34" "" 200 "dusma" "2020-10-12T07:03:08.622-04:00" "2020-10-12T07:04:15.587-04:00" "-16.67532 -56.285578 120.87228918075562 10"
193 "13/10/2020" "08:35:00.000-04:00" "P3673_0833" "P3673_0833" "Marcione" "P3673" "73" "Dupla1" "Queixada" "Queixada" "Tayassu pecari" "Tayassu" "Tayassuidae" "" "Artiodactyla" "Mammalia" "sim" -16.666571 -56.364657 133.8190918 3.21600008 "" "" "16025924187047378620112979145776-8_33_49.jpg" "Foto Toda Carcaca" "16025924503269120685342155294107-8_34_20.jpg" "Foto Cabeca Frente" "16025924937897708267576568971371-8_35_2.jpg" "Foto Cabeca Lado" "" "Sem Foto" "" "Sem Foto" "" "Sem Foto" "Não" "Não" "" 70257310 "c29390c4-8f7d-4647-a0ed-761aaf4c7236" "2020-10-13T15:29:11" "" 201 "dusma" "2020-10-13T08:33:01.918-04:00" "2020-10-13T08:35:14.337-04:00" "-16.666571 -56.364657 133.819091796875 3.2160000801086426"
195 "13/10/2020" "09:09:00.000-04:00" "P33980907" "P3398_0907" "Marcione" "P3398" "73" "Dupla1" "Caititu" "Caititu" "Pecari tajacu" "Pecari" "Tayassuidae" "" "Artiodactyla" "Mammalia" "sim" -16.67449 -56.37774 116.3106826 5 "" "" "image-9_8_38.jpg" "Foto Toda Carcaca" "image-9_9_40.jpg" "Foto Cabeca Frente" "image-9_9_5.jpg" "Foto Cabeca Lado" "" "Sem Foto" "" "Sem Foto" "" "Sem Foto" "Não" "Sim" "" 70263160 "10bffce8-8ca4-4344-82a0-01b01dfad082" "2020-10-13T16:10:17" "" 203 "dusma" "2020-10-13T09:07:21.006-04:00" "2020-10-13T09:09:59.878-04:00" "-16.674896 -56.378219 116.31068260028431 5"
198 "14/10/2020" "16:51:00.000-04:00" "P4674_1650" "P4674_1650" "Gabriela" "P4674" "88" "Dupla1" "Anta" "Anta" "Tapirus terrestris" "Tapirus" "Tapiridae" "" "Perissodactyla" "Mammalia" "não" -16.724554 -56.348198 122.3653564 9.647999763 "" "" "16027086408505234089751141643077-16_50_50.jpg" "Foto Toda Carcaca" "" "Sem Foto" "" "Sem Foto" "" "Sem Foto" "" "Sem Foto" "" "Sem Foto" "Não" "Sim" "" 70590034 "66fdfa31-b29d-48bf-90ab-010d9750594c" "2020-10-15T21:37:36" "" 1 "dusma" "2020-10-14T16:50:07.715-04:00" "2020-10-14T16:51:03.884-04:00" "-16.724554 -56.348198 122.3653564453125 9.64799976348877"
199 "14/10/2020" "08:10:00.000-04:00" "P3075" "P3075_0810" "Gabriela" "P3075" "67" "Dupla1" "Queixada" "" "Tayassu pecari" "Tayassu" "Tayassuidae" "" "Artiodactyla" "Mammalia" "Já revisada" -16.773738 -56.374846 122.8470459 3.572999954 "" "" "16026774365022378903997134772501-8_10_44.jpg" "Foto Toda Carcaca" "" "Sem Foto" "" "Sem Foto" "" "Sem Foto" "" "Sem Foto" "" "Sem Foto" "Não" "Sim" "" 70415403 "74142f77-8052-4911-9908-7031b7fb034e" "2020-10-14T17:13:31" "" 19 "dusma" "2020-10-14T08:09:14.447-04:00" "2020-10-14T08:10:59.635-04:00" "-16.773738 -56.374846 122.8470458984375 3.572999954223633"
202 "14/10/2020" "08:45:00.000-04:00" "P3181_0844" "P3181_0844" "Gabriela" "P3181" "67" "Dupla2" "Queixada" "" "Tayassu pecari" "Tayassu" "Tayassuidae" "" "Artiodactyla" "Mammalia" "Já revisada" -16.78372 -56.36881 111.1 1.019999981 "" "" "1602679481035114431364842407105-8_44_57.jpg" "Foto Toda Carcaca" "" "Sem Foto" "" "Sem Foto" "" "Sem Foto" "" "Sem Foto" "" "Sem Foto" "Não" "Não" "" 70590061 "4665c809-0c6d-4782-b32a-1c322881e61e" "2020-10-15T21:38:26" "" 211 "dusma" "2020-10-14T08:44:11.033-04:00" "2020-10-14T08:45:05.697-04:00" "-16.78372 -56.36881 111.1 1.0199999809265137"
