"plotID" "qdID" "greenVeg" "tanque" "OpenClosed" "fireDay" "deltaBurn" "dist2wiw" "dist2wclass" "forest0" "forest100" "forest200" "forest400" "forest600" "forest800" "forest1000" "class"
"P10397" "229" 8.39 0 1 55 563.727695007324 7459.2848616671 6135.10394965278 0 0.0355914436400563 0.0946043184292054 0.19534699511407 0.347162669145332 0.311215851431431 0.276422480304318 0
"P10471" "229" 2 0 1 45 675.087340753729 7021.96793945312 6018.25347900391 0.899880095923261 0.607626035968159 0.615688412799205 0.33222148447507 0.267538708530423 0.295199612434053 0.339655538137588 1
"P10547" "234" 2.77 0 0 45 655.955280761719 2133.48267267401 1148.52083333333 0.370422831801386 0.581029361985565 0.415160537294982 0.320642725872945 0.272362208436892 0.335128501376325 0.398647591183474 0
"P10561" "234" 9.34 0 0 55 650.124647660689 1791.39469216087 1338.17038302951 0 0.219120232362608 0.319392112534539 0.350874578787903 0.388591404150417 0.387161309558671 0.430266743755004 0
"P10572" "234" 12.1 0 0 55 694.462444513494 1389.12996459961 1407.04486083984 0 0.188907109324588 0.382548797658817 0.564611228945053 0.613671626674137 0.677014624226066 0.696987213416163 0
"P10577" "234" 11.02 0 1 55 649.589147949219 1650.24210316051 1485.61462402344 0.470078121338626 0.476739170788701 0.538655119074727 0.395252572253126 0.454263200431034 0.521874775395902 0.548562625946458 1
"P10583" "234" 6.41 0 1 45 697.095426635742 2082.06686523438 1069.57490539551 1 0.818712396676166 0.590246315475396 0.344027092308336 0.335425646551724 0.387727232797655 0.448589270331865 1
"P10625" "234" 9.96 0 1 45 682.034876043146 1587.59970037287 1609.66709391276 1 0.896361914065391 0.854422345584983 0.805438924088206 0.756578663793103 0.760121492515859 0.757754934325073 1
"P10637" "234" 21.17 0 1 55 541.054066606001 2078.09748272856 1065.86828104655 0.720107862965006 0.506024007222888 0.490946708857778 0.557580115923883 0.548360721982759 0.515380888620325 0.550514674132576 1
"P10666" "234" 13.27 0 1 55 781.55196105957 1833.52607421875 1813.01472981771 1 0.936905580851923 0.899359076156541 0.817872986743419 0.795143701967441 0.784673009652911 0.750868860580051 1
"P10707" "234" 6.85 0 1 55 670.717603149414 2116.38110839844 1477.53175184462 0.640359730179888 0.899648944650091 0.898496818953282 0.895645274712635 0.83879380603097 0.766232383305203 0.732506056478848 1
"P10727" "234" 10 0 1 55 757.030779474432 2242.5264115767 1356.62881469727 1 0.959923455738636 0.976848363404516 0.857571939437032 0.831310614224138 0.787105927950998 0.735284150729616 1
"P1084" "15" 5.42 0 0 35 813.762015380859 515.53826155229 323.174194335938 0 0.150810907759703 0.190434500393906 0.288826252046822 0.251633890086207 0.207745813379616 0.181393941118495 0
"P10859" "240" 3.18 0 1 45 642.128972167969 2110.15155761719 2073.62004937066 1 1 1 1 0.98859275125112 0.968329881428396 0.962046928172036 1
"P10877" "240" 6.1 0 1 45 572.012670898437 1974.01666209323 1950.15386284722 1 1 1 1 0.996675355466198 0.983802224482081 0.969870877035048 1
"P10895" "240" 7.53 0 1 45 537.480552484181 1838.6945690918 1806.92420196533 1 1 1 1 0.992743160684847 0.991563253637424 0.979958559033975 1
"P10911" "240" 9.63 0 1 45 375.502110443115 1526.88498656218 1494.9140625 1 1 1 1 1 0.994230170286508 0.995259627547708 1
"P10995" "240" 3.48 0 1 45 671.335079123757 1989.95104758523 1857.49830457899 1 0.932655245083587 0.937397952775684 0.979922985828451 0.986960065199674 0.990767707207471 0.9938575081583 1
"P11005" "240" 1.49 0 1 60 482.144784851074 1239.77123779297 1204.66626993815 1 1 1 1 1 0.990193285967934 0.977312176484131 1
"P11009" "240" 23.01 0 1 45 418.172673728249 1622.44363525391 1555.10626983643 1 1 1 0.979739691435801 0.98696247131205 0.992307241840086 0.993935184466622 1
"P11025" "240" 4.05 0 1 60 427.842503356934 1210.97373823686 1179.06749131944 1 1 1 1 1 0.986037088899419 0.965380093359668 1
"P11073" "240" 13.11 0 1 45 517.859380271218 1591.61434104226 1470.34313964844 1 0.985515740864082 0.979126817864408 0.973231729036018 0.984353448275862 0.990768272458413 0.993915841377293 1
"P11113" "240" 15.06 0 1 45 468.748792572022 1425.30395141602 1318.18055555556 1 0.967859053733853 0.979132635041169 0.993307661942817 0.984352078239609 0.990767707207471 0.993915712439807 1
"P11335" "250" 25.39 0 1 55 630.706207275391 1843.7329296875 1824.27390289307 1 0.913134274576604 0.899500289887082 0.938433547860911 0.968058054714521 0.981152742508212 0.987578057499987 1
